generic_name,status,availability,shortage_reason,dosage_form,company_name,initial_posting_date,update_type,therapeutic_category,year,month
Rocuronium Bromide Injection,Current,Available,Unknown,Injection,"Hospira, Inc., a Pfizer Company",2023-02-15,Reverified,Anesthesia,2023,2
Amino Acid Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2020-12-08,Reverified,Gastroenterology,2020,12
Dextrose Monohydrate 10% Injection,Current,Available,Unknown,Injection,B. Braun Medical Inc.,2022-03-01,Reverified,Endocrinology/Metabolism,2022,3
Furosemide Injection,Current,Available,Unknown,Injection,"Avet Pharmaceuticals, Inc.",2020-04-07,Revised,Cardiovascular,2020,4
Ketorolac Tromethamine Injection,Current,Unavailable,Other,Injection,"Fresenius Kabi USA, LLC",2018-03-23,Reverified,Analgesia/Addiction,2018,3
Etomidate Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2022-10-05,Revised,Anesthesia,2022,10
Hydroxocobalamin Injection,Current,Unavailable,Other,Injection,"Teva Pharmaceuticals USA, Inc.",2024-11-04,Revised,Other,2024,11
Midazolam Hydrochloride Injection,Current,Unavailable,Demand increase for the drug,Injection,"Fresenius Kabi USA, LLC",2020-04-02,Revised,Anesthesia,2020,4
Promethazine Hydrochloride Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2023-11-21,Revised,Analgesia/Addiction,2023,11
Flurazepam Hydrochloride Capsule,Current,Unavailable,Regulatory delay,Capsule,"Rising Pharma Holdings, Inc.",2022-08-03,Reverified,Neurology,2022,8
Hydromorphone Hydrochloride Injection,Current,Unavailable,Other,Injection,"Fresenius Kabi USA, LLC",2017-10-31,Reverified,Analgesia/Addiction,2017,10
Lorazepam Injection,Current,Unavailable,Other,Injection,"Hikma Pharmaceuticals USA, Inc.",2018-09-05,Revised,Neurology,2018,9
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Limited Availability,Demand increase for the drug,Tablet,"Trigen Laboratories, LLC",2023-07-26,Reverified,Psychiatry,2023,7
Bumetanide Injection,Current,Available,Unknown,Injection,"Hikma Pharmaceuticals USA, Inc.",2018-01-31,Revised,Cardiovascular,2018,1
Dopamine Hydrochloride Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2017-11-06,Reverified,Cardiovascular,2017,11
Everolimus Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Endo Pharmaceuticals, Inc.",2026-01-06,New,Transplant,2026,1
"Methylphenidate Hydrochloride Tablet, Extended Release",Current,Unavailable,Other,Tablet,"Vertical Pharmaceuticals, LLC",2023-07-26,Reverified,Psychiatry,2023,7
Sodium Bicarbonate Injection,Current,Unavailable,Other,Injection,"Fresenius Kabi USA, LLC",2017-07-24,Reverified,Endocrinology/Metabolism,2017,7
Somatropin Injection,To Be Discontinued,Unknown,Unknown,Injection,"Novo Nordisk, Inc.",2025-11-14,New,Endocrinology/Metabolism,2025,11
Caspofungin Acetate Injection,To Be Discontinued,Unknown,Unknown,Injection,"Fresenius Kabi USA, LLC",2026-01-12,New,Anti-Infective,2026,1
Celecoxib Capsule,To Be Discontinued,Unknown,Unknown,Capsule,"Teva Pharmaceuticals USA, Inc.",2025-08-15,New,Analgesia/Addiction,2025,8
Amino Acid Injection,Current,Available,Unknown,Injection,Baxter Healthcare,2020-12-08,Reverified,Gastroenterology,2020,12
"Fluvastatin Sodium Tablet, Extended Release",To Be Discontinued,Unknown,Unknown,Tablet,Sandoz Inc.,2026-01-27,New,Cardiovascular,2026,1
Ketorolac Tromethamine Injection,Current,Available,Unknown,Injection,Gland Pharma Limited,2018-06-06,Reverified,Analgesia/Addiction,2018,6
Ropivacaine Hydrochloride Injection,Current,Available,Unknown,Injection,"Fresenius Kabi USA, LLC",2018-03-23,Reverified,Anesthesia,2018,3
Metoprolol Tartrate Tablet,To Be Discontinued,Unknown,Unknown,Tablet,Aurobindo Pharma USA,2025-06-03,New,Cardiovascular,2025,6
Pravastatin Sodium Tablet,To Be Discontinued,Unknown,Unknown,Tablet,"Teva Pharmaceuticals USA, Inc.",2025-06-13,New,Cardiovascular,2025,6
Irinotecan Hydrochloride Injection,To Be Discontinued,Unknown,Unknown,Injection,"Teva Pharmaceuticals USA, Inc.",2025-08-04,New,Oncology,2025,8
